./example/compiler.jpg;:3;2020-02-03;meme,programming
./example/cool-house-1.jpg;this is beautiful;2019-10-07;house
./example/cool-house-2.jpg;this is beautiful as well;2019-10-01;house
./example/data-manually.jpg;automating > doing things manually;2020-01-22;meme,programming
./example/js-this.jpg;useless language;2020-01-21;meme,programming
./example/linux-files.jpg;linux vs. windows files;2020-01-20;meme
./example/living-room.jpg;house with a living room;2021-01-14;house
./example/pool.jpg;nice house with pool;2021-01-13;house
./example/red-square.jpg;red square;2019-07-06;russia
./example/shit-it.jpg;usual stuff;2021-01-12;meme
./example/sql.jpg;backend developers be like;2020-12-25;meme,programming
./example/while.jpg;big brain time;2020-11-07;meme,programming
./example/wood-shelter.jpg;nice house in the woods;2020-12-24;house
./example/wtf-is-this.jpg;copy-pasting from stackoverflow;2020-10-02;meme,programming,stackoverflow
./example/being-complicated.jpg;;2021-02-12;meme,programming
https://raw.githubusercontent.com/ianare/exif-samples/master/jpg/gps/DSCN0040.jpg;nice church (or something);2019-08-08;house,exif
https://raw.githubusercontent.com/ianare/exif-samples/master/jpg/gps/DSCN0021.jpg;nice park;2020-04-05;exif
./example/eclipse-intellij.jpg;intellij > eclipse;;meme,programming
./example/emacs.jpg;vim > emacs;;meme,programming
./example/fixing-in-production.jpg;efficient;2020-06-25;meme,programming
./example/japanese-castle.jpg;japan;2019-05-01;house
